shape_slug,shape_label,carat_weight,approximate_length_mm,approximate_width_mm,facet_url
round,Round,1,6.5,6.5,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=round&carat=1.00
round,Round,1.1,6.71,6.71,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=round&carat=1.10
round,Round,1.2,6.91,6.91,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=round&carat=1.20
round,Round,1.3,7.09,7.09,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=round&carat=1.30
round,Round,1.4,7.27,7.27,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=round&carat=1.40
round,Round,1.5,7.44,7.44,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=round&carat=1.50
round,Round,1.6,7.6,7.6,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=round&carat=1.60
round,Round,1.7,7.76,7.76,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=round&carat=1.70
round,Round,1.8,7.91,7.91,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=round&carat=1.80
round,Round,1.9,8.05,8.05,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=round&carat=1.90
round,Round,2,8.19,8.19,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=round&carat=2.00
round,Round,2.1,8.32,8.32,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=round&carat=2.10
round,Round,2.2,8.45,8.45,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=round&carat=2.20
round,Round,2.3,8.58,8.58,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=round&carat=2.30
round,Round,2.4,8.7,8.7,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=round&carat=2.40
round,Round,2.5,8.82,8.82,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=round&carat=2.50
round,Round,2.6,8.94,8.94,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=round&carat=2.60
round,Round,2.7,9.05,9.05,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=round&carat=2.70
round,Round,2.8,9.16,9.16,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=round&carat=2.80
round,Round,2.9,9.27,9.27,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=round&carat=2.90
round,Round,3,9.37,9.37,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=round&carat=3.00
oval,Oval,1,8,5.5,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=oval&carat=1.00
oval,Oval,1.1,8.26,5.68,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=oval&carat=1.10
oval,Oval,1.2,8.5,5.84,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=oval&carat=1.20
oval,Oval,1.3,8.73,6,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=oval&carat=1.30
oval,Oval,1.4,8.95,6.15,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=oval&carat=1.40
oval,Oval,1.5,9.16,6.3,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=oval&carat=1.50
oval,Oval,1.6,9.36,6.43,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=oval&carat=1.60
oval,Oval,1.7,9.55,6.56,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=oval&carat=1.70
oval,Oval,1.8,9.73,6.69,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=oval&carat=1.80
oval,Oval,1.9,9.91,6.81,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=oval&carat=1.90
oval,Oval,2,10.08,6.93,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=oval&carat=2.00
oval,Oval,2.1,10.24,7.04,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=oval&carat=2.10
oval,Oval,2.2,10.4,7.15,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=oval&carat=2.20
oval,Oval,2.3,10.56,7.26,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=oval&carat=2.30
oval,Oval,2.4,10.71,7.36,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=oval&carat=2.40
oval,Oval,2.5,10.86,7.46,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=oval&carat=2.50
oval,Oval,2.6,11,7.56,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=oval&carat=2.60
oval,Oval,2.7,11.14,7.66,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=oval&carat=2.70
oval,Oval,2.8,11.28,7.75,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=oval&carat=2.80
oval,Oval,2.9,11.41,7.84,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=oval&carat=2.90
oval,Oval,3,11.54,7.93,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=oval&carat=3.00
emerald,Emerald,1,7,5,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=emerald&carat=1.00
emerald,Emerald,1.1,7.23,5.16,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=emerald&carat=1.10
emerald,Emerald,1.2,7.44,5.31,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=emerald&carat=1.20
emerald,Emerald,1.3,7.64,5.46,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=emerald&carat=1.30
emerald,Emerald,1.4,7.83,5.59,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=emerald&carat=1.40
emerald,Emerald,1.5,8.01,5.72,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=emerald&carat=1.50
emerald,Emerald,1.6,8.19,5.85,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=emerald&carat=1.60
emerald,Emerald,1.7,8.35,5.97,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=emerald&carat=1.70
emerald,Emerald,1.8,8.52,6.08,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=emerald&carat=1.80
emerald,Emerald,1.9,8.67,6.19,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=emerald&carat=1.90
emerald,Emerald,2,8.82,6.3,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=emerald&carat=2.00
emerald,Emerald,2.1,8.96,6.4,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=emerald&carat=2.10
emerald,Emerald,2.2,9.1,6.5,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=emerald&carat=2.20
emerald,Emerald,2.3,9.24,6.6,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=emerald&carat=2.30
emerald,Emerald,2.4,9.37,6.69,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=emerald&carat=2.40
emerald,Emerald,2.5,9.5,6.79,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=emerald&carat=2.50
emerald,Emerald,2.6,9.63,6.88,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=emerald&carat=2.60
emerald,Emerald,2.7,9.75,6.96,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=emerald&carat=2.70
emerald,Emerald,2.8,9.87,7.05,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=emerald&carat=2.80
emerald,Emerald,2.9,9.98,7.13,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=emerald&carat=2.90
emerald,Emerald,3,10.1,7.21,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=emerald&carat=3.00
dutch_marquise,Dutch Marquise,1,9,5,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=dutch_marquise&carat=1.00
dutch_marquise,Dutch Marquise,1.1,9.29,5.16,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=dutch_marquise&carat=1.10
dutch_marquise,Dutch Marquise,1.2,9.56,5.31,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=dutch_marquise&carat=1.20
dutch_marquise,Dutch Marquise,1.3,9.82,5.46,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=dutch_marquise&carat=1.30
dutch_marquise,Dutch Marquise,1.4,10.07,5.59,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=dutch_marquise&carat=1.40
dutch_marquise,Dutch Marquise,1.5,10.3,5.72,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=dutch_marquise&carat=1.50
dutch_marquise,Dutch Marquise,1.6,10.53,5.85,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=dutch_marquise&carat=1.60
dutch_marquise,Dutch Marquise,1.7,10.74,5.97,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=dutch_marquise&carat=1.70
